Year,SERIES,UNIT_MEASURE,PRODUCT,Value
2015,EN_MAT_DOMCMPC,TONNES,ALP,10.2814
2016,EN_MAT_DOMCMPC,TONNES,ALP,11.53692
2017,EN_MAT_DOMCMPC,TONNES,ALP,10.83291
2018,EN_MAT_DOMCMPC,TONNES,ALP,11.52782
2019,EN_MAT_DOMCMPC,TONNES,ALP,11.68895
2015,EN_MAT_DOMCMPC,TONNES,BIM,2.48619
2016,EN_MAT_DOMCMPC,TONNES,BIM,2.90294
2017,EN_MAT_DOMCMPC,TONNES,BIM,2.49577
2018,EN_MAT_DOMCMPC,TONNES,BIM,3.03498
2019,EN_MAT_DOMCMPC,TONNES,BIM,3.06168
2015,EN_MAT_DOMCMPC,TONNES,FOF,4.20241
2016,EN_MAT_DOMCMPC,TONNES,FOF,4.71903
2017,EN_MAT_DOMCMPC,TONNES,FOF,4.97509
2018,EN_MAT_DOMCMPC,TONNES,FOF,5.12817
2019,EN_MAT_DOMCMPC,TONNES,FOF,4.88006
2015,EN_MAT_DOMCMPC,TONNES,MEO,0.86948
2016,EN_MAT_DOMCMPC,TONNES,MEO,0.75737
2017,EN_MAT_DOMCMPC,TONNES,MEO,0.73758
2018,EN_MAT_DOMCMPC,TONNES,MEO,0.73486
2019,EN_MAT_DOMCMPC,TONNES,MEO,0.87663
2015,EN_MAT_DOMCMPC,TONNES,NMM,2.82636
2016,EN_MAT_DOMCMPC,TONNES,NMM,3.31631
2017,EN_MAT_DOMCMPC,TONNES,NMM,2.80636
2018,EN_MAT_DOMCMPC,TONNES,NMM,2.81688
2019,EN_MAT_DOMCMPC,TONNES,NMM,3.05611

2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,ALP,2.20886
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,ALP,2.37127
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,ALP,2.13123
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,ALP,2.16067
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,ALP,2.10285
2020,EN_MAT_DOMCMPG,KG_PER_CON_USD,ALP,2.18623
2021,EN_MAT_DOMCMPG,KG_PER_CON_USD,ALP,1.96233
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,BIM,0.53413
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,BIM,0.59668
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,BIM,0.49103
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,BIM,0.56873
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,BIM,0.55065
2020,EN_MAT_DOMCMPG,KG_PER_CON_USD,BIM,0.58389
2021,EN_MAT_DOMCMPG,KG_PER_CON_USD,BIM,0.45577
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,COL,0.80169
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,COL,0.86324
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,COL,0.87603
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,COL,0.87616
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,COL,0.79656
2020,EN_MAT_DOMCMPG,KG_PER_CON_USD,COL,0.81251
2021,EN_MAT_DOMCMPG,KG_PER_CON_USD,COL,0.73197
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,CPR,0.06876
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,CPR,0.09771
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,CPR,0.0643
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,CPR,0.09707
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,CPR,0.09059
2020,EN_MAT_DOMCMPG,KG_PER_CON_USD,CPR,0.1091
2021,EN_MAT_DOMCMPG,KG_PER_CON_USD,CPR,0.07081
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,CRO,0.20085
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,CRO,0.23515
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,CRO,0.18356
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,CRO,0.22476
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,CRO,0.20695
2020,EN_MAT_DOMCMPG,KG_PER_CON_USD,CRO,0.23661
2021,EN_MAT_DOMCMPG,KG_PER_CON_USD,CRO,0.17434
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,FEO,0.11428
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,FEO,0.08843
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,FEO,0.08056
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,FEO,0.06736
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,FEO,0.07133
2020,EN_MAT_DOMCMPG,KG_PER_CON_USD,FEO,0.07048
2021,EN_MAT_DOMCMPG,KG_PER_CON_USD,FEO,0.06982
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,FOF,0.90285
2016,EN_MAT_DOMCMPG,KG_PER_CON_USD,FOF,0.96993
2017,EN_MAT_DOMCMPG,KG_PER_CON_USD,FOF,0.97877
2018,EN_MAT_DOMCMPG,KG_PER_CON_USD,FOF,0.96075
2019,EN_MAT_DOMCMPG,KG_PER_CON_USD,FOF,0.87801
2020,EN_MAT_DOMCMPG,KG_PER_CON_USD,FOF,0.89549
2021,EN_MAT_DOMCMPG,KG_PER_CON_USD,FOF,0.81161
2015,EN_MAT_DOMCMPG,KG_PER_CON_USD,GAS,0.01403
